,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
374,0,6,0,6781,1,0,0.018580546602606773,Anton Salétros,M,0,1,FC Rostov,445,0.054595697671175,0.018580546602606773,1.4893396608531475,1.5079202093183994,1
375,0,6,0,6782,1,0,0.10876800119876862,Artem Schadin,M S,0,2,FC Rostov,262,0.1075703576207161,0.10876800119876862,0.08240152895450592,0.19116953387856483,0
376,0,7,0,6786,2,0,0.027301160618662834,Enis Gavazaj,D M S,0,1,FC Yenisey Krasnoyarsk,235,0.0360231027007103,0.027301160618662834,0.18042212538421154,0.20100734196603298,0
377,1,13,0,6787,7,0,1.5779490768909454,Marko Obradovic,F S,0,11,FC Yenisey Krasnoyarsk,375,1.1073882598429918,1.5779490768909454,0.33853488601744175,1.2034771591424942,3
378,0,4,0,6788,1,0,0.013150307349860668,Pavel Rozhkov,M S,0,1,FC Yenisey Krasnoyarsk,173,0.009357064962387085,0.013150307349860668,0.17127005010843277,0.18062711507081985,0
379,0,1,0,6789,0,0,0.04970640689134598,Aleksandr Kharitonov,S,0,3,FC Yenisey Krasnoyarsk,12,0.0,0.04970640689134598,0.0,0.021891508251428604,0
380,0,3,0,6790,0,0,0.0,Mikhail Filippov,GK,0,0,FC Yenisey Krasnoyarsk,270,0.0,0.0,0.09589345008134842,0.09589345008134842,0
381,1,8,0,6796,2,0,1.0851702205836773,Chico Flores,D,0,5,Rubin Kazan,678,0.5664904955774546,1.0851702205836773,0.5567969549447298,1.0743444780819118,1
382,0,20,0,6798,0,0,0.0,Ivan Konovalov,GK,0,0,Rubin Kazan,1800,0.0,0.0,0.4193498073145747,0.4193498073145747,1
383,0,15,0,6799,16,0,0.9934991681948304,Christian Cueva,M S,0,9,FC Krasnodar,478,1.1231997730210423,0.9934991681948304,3.1124927401542664,4.681304659694433,1
384,1,17,0,6802,10,0,0.16139224637299776,Nikita Chicherin,D M S,0,13,Krylya Sovetov Samara,1303,1.7537496238946915,0.16139224637299776,0.6988042201846838,2.48067466635257,4
385,0,1,0,6804,0,0,0.0,Mikhail Tikhonov,S,0,0,Krylya Sovetov Samara,1,0.0,0.0,0.0,0.0,0
386,1,14,0,6805,6,0,0.06986628100275993,Azer Aliev,S,0,2,"FC Ufa,Krylya Sovetov Samara",317,0.1339673139154911,0.06986628100275993,0.6457822192460299,0.8096919693052769,0
387,0,28,0,6806,7,0,0.8068403210490942,Rodrigo Becão,D,0,8,CSKA Moscow,2405,0.20213554985821247,0.8068403210490942,6.4875090308487415,6.55225083604455,9
388,0,25,0,6814,4,0,0.33067961409687996,Gael Ondoua,M S,0,14,Anzhi Makhachkala,1759,0.08107981644570827,0.33067961409687996,1.8934578523039818,2.1894319686107337,5
389,1,12,0,6848,2,0,0.12992475181818008,Pavel Kaloshin,D,0,5,Anzhi Makhachkala,1080,0.6991072371602058,0.12992475181818008,0.371900774538517,0.371900774538517,2
390,0,12,0,6910,2,0,0.44053847901523113,Igor Diveev,D S,0,12,"CSKA Moscow,FC Ufa",921,0.04688783921301365,0.44053847901523113,2.229839187115431,2.3125257715582848,3
391,0,6,0,6911,2,0,0.07993103563785553,Jón Gudni Fjóluson,D M S,0,2,FC Krasnodar,461,0.0911273155361414,0.07993103563785553,1.002659060060978,1.002659060060978,0
392,4,19,0,6948,21,0,1.0373362079262733,Marco Aratore,M S,0,16,Ural,783,1.5950099602341652,1.0373362079262733,2.062949327751994,3.1855740062892437,1
393,0,3,0,7010,0,0,0.1711588278412819,Danil Lipovoy,S,0,2,Dinamo Moscow,70,0.0,0.1711588278412819,0.03646067529916763,0.20761950314044952,0
394,0,8,0,7023,2,0,0.24017760902643204,Dennis Hadzikadunic,D,0,6,FC Rostov,695,0.05361227132380009,0.24017760902643204,1.0917156301438808,1.1619868129491806,2
395,0,14,0,7103,3,0,0.23487240262329578,Agustín Rogel,D,2,5,Krylya Sovetov Samara,1204,0.5060440581291914,0.23487240262329578,0.912906551733613,1.019064648076892,3
396,0,2,0,7123,0,0,0.0,Evgeny Kharin,S,0,0,FK Akhmat,28,0.0,0.0,0.31385675072669983,0.31385675072669983,0
397,0,3,0,7144,0,0,0.015650304034352303,Vanja Vucicevic,F S,0,1,Krylya Sovetov Samara,111,0.0,0.015650304034352303,0.0,0.015650304034352303,1
398,0,10,0,7158,0,0,0.04688306525349617,Zoran Nizic,D S,0,2,FK Akhmat,828,0.0,0.04688306525349617,0.7788875456899405,0.7788875456899405,2
399,1,8,0,7161,1,0,0.3092428520321846,Vidar Orn Kjartansson,F S,0,5,FC Rostov,181,0.7659927010536194,0.3092428520321846,0.6485219933092594,0.8129361048340797,0
400,0,5,0,7191,0,0,0.07532572280615568,Ilya Gaponov,D,0,3,Spartak Moscow,450,0.0,0.07532572280615568,1.0870076306164265,1.0936784353107214,1
401,0,18,0,7196,3,0,0.5783944791182876,Roman Evgeniev,D S,0,8,Dinamo Moscow,1497,0.06227761320769787,0.5783944791182876,1.6865325756371021,1.7488101832568645,6
402,0,5,0,7260,3,0,0.035857535898685455,Vladislav Panteleev,S,0,1,"Rubin Kazan,Spartak Moscow",69,0.060356984846293926,0.035857535898685455,0.035902406089007854,0.07175994105637074,0
403,0,3,0,7269,1,0,0.11510539706796408,Nikita Chistyakov,D,0,3,Anzhi Makhachkala,267,0.015173431485891342,0.11510539706796408,0.6048362106084824,0.7199416011571884,0
404,0,1,0,7270,0,0,0.0,Rail Abdullin,D,0,0,Rubin Kazan,64,0.0,0.0,0.0,0.0,0
405,0,10,0,7304,5,0,0.20863080210983753,Danil Stepanov,D M S,0,6,Rubin Kazan,677,0.21635472401976585,0.20863080210983753,0.9716877164319158,1.2870530374348164,3
406,0,2,0,7307,0,0,0.41164451837539673,Lechii Sadulaev,S,0,1,FK Akhmat,2,0.0,0.41164451837539673,0.0,0.41164451837539673,0
407,0,8,0,7442,2,0,0.13209857046604156,Saveli Kozlov,D,0,2,FC Orenburg,665,0.05988748371601105,0.13209857046604156,1.5056108385324478,1.5654983259737492,2
408,0,1,0,7443,2,0,0.0,Alikadi Saidov,D,0,0,Anzhi Makhachkala,90,0.10106543451547623,0.0,0.13642258942127228,0.17692750692367554,0
409,0,7,0,7444,1,0,0.0,Shakhban Gaydarov,M S,0,0,Anzhi Makhachkala,421,0.013840851373970509,0.0,0.2799170985817909,0.29375795274972916,0
410,0,11,0,7446,0,0,0.0,Denis Polyakov,D S,0,0,Ural,872,0.0,0.0,1.2130517214536667,1.2130517214536667,0
411,0,4,0,7449,0,0,0.0,Leon Musaev,M S,0,0,Zenit St. Petersburg,79,0.0,0.0,0.0,0.0,0
412,0,2,0,7450,0,0,0.048347994685173035,Maksim Volodko,D S,0,1,Arsenal Tula,59,0.0,0.048347994685173035,0.033913761377334595,0.08226175606250763,0
413,0,5,0,7461,3,0,0.09706437960267067,Roman Akbashev,F S,0,3,Rubin Kazan,209,0.08669863734394312,0.09706437960267067,0.040176328271627426,0.1072876863181591,1
414,0,9,0,7463,2,0,0.38454519491642714,Damian Szymanski,M S,0,8,FK Akhmat,695,0.023307853378355503,0.38454519491642714,1.8309722747653723,2.0335884653031826,1
415,0,1,0,7468,0,0,0.0,Maksim Edapin,S,0,0,FC Yenisey Krasnoyarsk,13,0.0,0.0,0.0,0.0,0
416,3,9,0,7470,13,0,0.3739726133644581,Mathias Normann,M,0,14,FC Rostov,810,1.0154897663742304,0.3739726133644581,1.433830225840211,1.8039034139364958,4
417,0,10,0,7471,5,0,0.3576937234029174,Baktiyor Zainutdinov,M S,0,8,FC Rostov,397,0.17248713597655296,0.3576937234029174,0.24744590371847153,0.5752896936610341,3
418,3,13,0,7475,13,0,0.48097517527639866,Ayrton Lucas,D S,0,21,Spartak Moscow,1106,0.8397980597801507,0.48097517527639866,3.1661103144288063,4.235563572496176,2
419,0,5,0,7476,1,0,0.04995917435735464,Nail Umiarov,M S,0,2,Spartak Moscow,168,0.015400352887809277,0.04995917435735464,0.30960947275161743,0.3749689906835556,0
420,0,5,0,7477,1,0,0.17548396438360214,Maksim Glushenkov,S,0,4,Spartak Moscow,88,0.09357334673404694,0.17548396438360214,0.019026271533221006,0.23964128317311406,0
421,0,6,0,7479,1,0,0.2540369778871536,Kristoffer Olsson,M S,0,4,FC Krasnodar,153,0.012792503461241722,0.2540369778871536,0.4897119365632534,0.7437489107251167,0
422,0,1,0,7592,0,0,0.0,Stanislav Magkeev,S,0,0,Lokomotiv Moscow,1,0.0,0.0,0.0,0.0,0
423,0,1,0,7617,0,0,0.06646239757537842,Magomed Magomedov,S,0,1,Anzhi Makhachkala,22,0.0,0.06646239757537842,0.0,0.06646239757537842,1
