,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
294,0,2,0,1159,0,0,0.37301215529441833,Molla Wagué,D S,0,3,Udinese,91,0.0,0.37301215529441833,0.7642857814207673,1.035907962359488,0
295,1,27,0,1161,15,0,0.7643694160506129,Francesco Zampano,D M S,0,15,Frosinone,2107,0.7197609022259712,0.7643694160506129,2.0241801673546433,3.2725679706782103,1
296,0,21,0,1180,1,0,0.2719970904290676,Luca Rossettini,D S,0,4,Chievo,1822,0.0940595269203186,0.2719970904290676,2.7017241530120373,2.7017241530120373,5
297,1,15,0,1184,22,0,0.2099460568279028,Mirko Valdifiori,M S,0,7,SPAL 2013,668,1.6104877274483442,0.2099460568279028,1.554202290251851,1.9411859177052975,3
298,0,1,0,1187,0,0,0.06695160269737244,Adem Ljajic,S,0,2,Torino,27,0.0,0.06695160269737244,0.11013934016227722,0.17709094285964966,0
299,0,24,0,1196,2,0,0.012485619634389877,Emiliano Moretti,D S,0,1,Torino,2015,0.08612562902271748,0.012485619634389877,3.411807356402278,3.442427722737193,5
300,0,4,0,1200,0,0,0.0,Federico Marchetti,GK,0,0,Genoa,360,0.0,0.0,0.33859336376190186,0.33859336376190186,1
301,0,16,0,1202,3,0,1.1075600078329444,Wallace,D S,0,10,Lazio,1234,0.20557894557714462,1.1075600078329444,4.618618426844478,4.718600636348128,3
302,0,15,0,1204,8,0,1.3320490391924977,Patric,D M S,0,15,Lazio,1078,0.8753576148301363,1.3320490391924977,2.2352376133203506,3.9996378496289253,1
303,3,16,0,1212,17,0,0.825172295793891,Alessandro Murgia,M S,0,13,"Lazio,SPAL 2013",1082,1.5178928188979626,0.825172295793891,1.7821487169712782,2.7408088129013777,1
304,0,35,0,1214,0,0,0.0,Thomas Strakosha,GK,0,0,Lazio,3150,0.0,0.0,3.6097552329301834,3.6097552329301834,4
305,1,21,0,1221,19,0,0.25153556000441313,Jacopo Sala,D S,0,8,Sampdoria,1520,1.568087263032794,0.25153556000441313,4.6808944111689925,5.861986458301544,5
306,1,35,0,1223,8,0,1.5551718771457672,Milan Skriniar,D,0,15,Inter,3150,0.27299176156520844,1.5551718771457672,10.169621426612139,10.352698788046837,4
307,0,4,0,1224,0,0,0.0,Vasco Regini,D S,0,0,SPAL 2013,75,0.0,0.0,0.12257657572627068,0.12257657572627068,0
308,2,12,0,1225,10,0,1.0040418468415737,Edgar Barreto,M S,0,8,Sampdoria,779,1.6286489591002464,1.0040418468415737,2.1325944885611534,3.993440980091691,2
309,1,25,0,1238,30,0,0.4254733636043966,Luca Cigarini,M S,0,19,Cagliari,1697,2.976712828502059,0.4254733636043966,2.6573067232966423,3.490917282178998,9
310,0,26,0,1241,17,0,0.07215340062975883,Pedro Pereira,D M S,0,3,Genoa,1379,1.363851048052311,0.07215340062975883,1.5781051460653543,2.984241021797061,1
311,0,9,0,1242,1,0,0.13594228774309158,Luka Krajnc,D,0,3,Frosinone,792,0.08128947019577026,0.13594228774309158,1.8387589994817972,1.920048477128148,3
312,0,28,0,1244,0,0,0.0,Wojciech Szczesny,GK,0,0,Juventus,2520,0.0,0.0,3.3988178446888924,3.3988178446888924,0
313,0,1,0,1256,2,0,0.0,Kevin Strootman,M,0,0,Roma,90,0.13448180258274078,0.0,0.3534722924232483,0.48795410990715027,0
314,3,31,0,1265,17,0,1.1849559219554067,Thiago Cionek,D S,2,16,SPAL 2013,2556,1.5269740307703614,1.1849559219554067,3.9797715432941914,4.666264466941357,12
315,0,9,0,1281,3,0,0.030897284857928753,Giuseppe Pezzella,D M S,1,2,"Genoa,Udinese",290,0.23521381616592407,0.030897284857928753,0.1533595770597458,0.2661111056804657,1
316,0,7,0,1286,0,0,0.0,Andrea Barzagli,D S,0,0,Juventus,260,0.0,0.0,0.29196818359196186,0.29196818359196186,0
317,0,36,0,1302,2,0,0.0,Emil Audero,GK,0,0,Sampdoria,3240,0.04228131007403135,0.0,3.6415274012833834,3.6754166837781668,4
318,0,38,0,1305,0,0,0.0,Lukasz Skorupski,GK,0,0,Bologna,3420,0.0,0.0,1.955238662660122,1.955238662660122,1
319,0,15,0,1306,7,0,0.1011117696762085,Vincent Laurini,D M S,0,2,Fiorentina,931,0.4883628012612462,0.1011117696762085,2.4645641185343266,2.7266022339463234,4
320,0,5,0,1310,2,0,0.08208723459392786,José Mauri,M S,0,4,AC Milan,207,0.15693359076976776,0.08208723459392786,0.5706232488155365,0.682635486125946,0
321,0,31,0,1316,6,0,0.677233375608921,Frederic Veseli,D S,0,5,Empoli,2535,0.3935120841488242,0.677233375608921,5.3403975665569305,5.6052605882287025,4
322,0,10,0,1318,1,0,0.021559448912739754,Manuel Pucciarelli,F S,0,1,Chievo,291,0.01114044152200222,0.021559448912739754,0.44440906029194593,0.47710894513875246,1
323,1,11,0,1319,3,0,0.11830450873821974,Levan Mchedlidze,S,0,4,Empoli,180,0.10833164863288403,0.11830450873821974,0.17609578277915716,0.37530492059886456,1
324,0,30,0,1320,11,0,0.9821115508675575,Federico Barba,D S,2,9,Chievo,2481,1.4761935640126467,0.9821115508675575,2.6253168070688844,3.876550259999931,5
325,0,29,0,1322,19,0,0.2802701899781823,Raffaele Maiello,M S,0,10,Frosinone,2046,1.3731920402497053,0.2802701899781823,4.701146706007421,6.030623613856733,4
326,0,14,0,1326,5,0,0.13034071121364832,Assane Diousse,M S,0,7,Chievo,885,0.1855447944253683,0.13034071121364832,0.5491143865510821,0.7272390788421035,5
327,0,3,0,1327,2,0,0.1315212845802307,Matheus Pereira,M S,0,2,Juventus,91,0.05383510887622833,0.1315212845802307,0.4449959844350815,0.5619019269943237,0
328,0,31,0,1328,1,0,0.0,Stefano Sorrentino,GK,0,0,Chievo,2790,0.021837351843714714,0.0,2.988872376270592,3.010709728114307,2
329,2,14,0,1329,16,0,0.1324220821261406,Fabrizio Cacciatore,D S,0,4,"Cagliari,Chievo",1080,1.8724078852683306,0.1324220821261406,3.069371672347188,4.1448597479611635,3
330,1,16,0,1332,9,0,0.15402730740606785,Massimo Gobbi,D S,0,3,Parma Calcio 1913,1178,0.7148043587803841,0.15402730740606785,1.2584538888186216,1.7145340396091342,3
331,1,24,0,1335,8,0,1.9276087833568454,Nicola Rigoni,M S,1,22,Chievo,1966,0.2596817282028496,1.9276087833568454,3.5497232493944466,4.936967419926077,8
332,0,35,0,1341,14,0,0.8429088573902845,Ivan Radovanovic,M S,0,52,"Chievo,Genoa",2989,0.6838523847982287,0.8429088573902845,8.433937380090356,9.752944708801806,9
333,0,7,0,1342,1,0,0.16990842670202255,Nicolás Spolli,D,0,3,Genoa,542,0.3992663621902466,0.16990842670202255,0.39602547883987427,0.39602547883987427,2
334,0,5,0,1344,1,0,0.0,Nicolas Frey,D S,0,0,Chievo,224,0.020435845479369164,0.0,0.19575780257582664,0.19575780257582664,0
335,0,2,0,1345,0,0,0.0,Andrea Seculin,GK S,0,0,Chievo,91,0.0,0.0,0.06633961945772171,0.06633961945772171,0
336,0,17,0,1348,8,0,0.8181657586246729,Vittorio Parigini,M S,0,8,Torino,333,1.2015391867607832,0.8181657586246729,0.1864806767553091,1.5742001067847013,2
337,0,8,0,1356,1,0,0.0,Lorenzo Crisetig,M S,0,0,Frosinone,508,0.04870712012052536,0.0,0.5800397843122482,0.628746896982193,3
338,0,12,0,1358,3,0,0.34243014454841614,Leonardo Capezzi,M S,0,13,Empoli,779,0.12464521452784538,0.34243014454841614,2.614526577293873,2.846294917166233,3
339,1,16,0,1360,5,0,1.6697676293551922,Diego Falcinelli,F S,0,15,Bologna,702,0.5744768427684903,1.6697676293551922,0.38507214933633804,2.5160083398222923,0
