,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
422,0,5,0,5985,1,0,0.0243170028552413,Jeremy Grimm,M S,0,2,Strasbourg,162,0.05324545130133629,0.0243170028552413,0.11074155569076538,0.11074155569076538,2
423,8,36,0,5990,55,0,0.5668050860986114,Pedro Rebocho,D M,0,17,Guingamp,3240,6.7598584201186895,0.5668050860986114,4.375673428177834,6.825776880607009,4
424,0,24,0,5991,14,0,0.34441508539021015,Lebogang Phiri,M S,0,12,Guingamp,1937,0.4762589605525136,0.34441508539021015,2.8020078539848328,3.332947790622711,3
425,3,37,0,5996,25,0,0.7902374472469091,Adrien Tameze,D M S,0,19,Nice,2962,1.4523287564516068,0.7902374472469091,7.553423019126058,9.309486795216799,7
426,0,33,0,5998,5,0,2.2206949554383755,Christophe Herelle,D,1,17,Nice,2941,0.2659464180469513,2.2206949554383755,7.2963582295924425,7.480117941275239,9
427,1,12,0,6007,3,0,0.0,Nicolas Cozza,D S,0,0,Montpellier,997,0.6053211968392134,0.0,2.0091047175228596,2.0091047175228596,0
428,0,7,0,6008,3,0,0.17865214683115482,Stef Peeters,M S,0,5,Caen,415,0.5199056081473827,0.17865214683115482,0.3780692405998707,0.48595961928367615,0
429,0,11,0,6009,2,0,0.11337047116830945,Adama Mbengue,D M S,0,9,Caen,742,0.1540774293243885,0.11337047116830945,0.3546837689355016,0.5467382548376918,3
430,0,16,0,6010,2,0,0.14179346803575754,Edgar Ié,D S,0,3,"Lille,Nantes",1006,0.041510820388793945,0.14179346803575754,1.8203804846853018,1.8332868507131934,3
431,5,35,0,6011,62,0,1.3168366104364395,Thiago Mendes,M,0,32,Lille,3091,4.403367806226015,1.3168366104364395,13.623370684683323,15.555888524278998,10
432,1,24,0,6013,8,0,0.9853503406047821,Thiago Maia,M S,0,2,Lille,1004,0.4998339433223009,0.9853503406047821,3.399810090661049,4.165602058172226,4
433,1,18,0,6021,9,0,0.40939415618777275,Lukas Lerager,M S,0,11,Bordeaux,1304,0.3830868490040302,0.40939415618777275,1.4951778883114457,2.0633921017870307,4
434,2,33,0,6060,10,0,0.6170164933428168,Otávio,M,0,21,Bordeaux,2884,0.37036556005477905,0.6170164933428168,6.653978804126382,7.394685474224389,4
435,0,18,0,6070,12,0,2.0424097552895546,Moussa Sylla,F M S,0,16,Monaco,757,0.5060793301090598,2.0424097552895546,0.7643433213233948,3.157121588476002,1
