player.name,xG,goal
Javier Alejandro Mascherano,0.03,0
Javier Hernández Balcázar,0.47000000000000003,1
Jefferson Agustín Farfán Guadalupe,0.33,0
Jefferson Andrés Lerma Solís,0.09,0
Jens Stryger Larsen,0.1,0
Jesse Lingard,0.9000000000000001,1
Jesús Daniel Gallardo Vasconcelos,0.03,0
Joel Nathaniel Campbell Samuels,0.19,0
Johan Andrés Mojica Palacio,0.04,0
Johann Berg Guðmunds­son,0.09,0
John Guidetti,0.06,0
John Stones,0.94,2
Jonas Hector,0.19,0
Jordan Brian Henderson,0.3500000000000001,0
Jordi Alba Ramos,0.16,0
Jorge Resurrección Merodio,0.17,0
Josh Risdon,0.03,0
Joshua Kimmich,0.22,0
Josip Drmic,0.32000000000000006,1
Josip Pivarić,0.19,0
José Andrés Guardado Hernández,0.79,0
José Ignacio Fernández Iglesias,0.03,1
José Luis Rodríguez Francis,0.12,0
José Martín Cáceres Silva,1.07,0
José María Giménez de Vargas,0.45,1
José Miguel da Rocha Fonte,0.41000000000000003,0
José Paolo Guerrero González,0.9400000000000002,1
José Paulo Bezzera Maciel Júnior,1.03,1
João Miranda de Souza Filho,0.13,0
João Mário Naval da Costa Eduardo,0.03,0
Juan Fernando Quintero Paniagua,0.26,1
Juan Guillermo Cuadrado Bello,0.46,2
Julian Brandt,0.15,0
Julian Draxler,0.44,0
Jérôme Boateng,0.09,0
Jón Daði Böðvarsson,0.06,0
Kamil Glik,0.13,0
Kamil Grosicki,0.39,0
Karim Ansarifard,0.22,1
Karim El Ahmadi Al Aroos,0.04,0
Keisuke Honda,0.26,1
Keita Baldé Diao,0.06,0
Kelechi Promise Iheanacho,0.12,0
Kendall Jamaal Waston Manley,0.43,1
Kenneth Josiah Omeruo,0.13,0
Kevin De Bruyne,0.52,1
Khalid Boutaïb,0.45,1
Kieran Trippier,0.22,2
Kléper Laveran Lima Ferreira,0.43000000000000005,1
Kylian Mbappé Lottin,0.9299999999999999,4
Lasse Schöne,0.25,0
Leon Goretzka,0.26,0
Leon-Aderemi Balogun,0.32,0
Lionel Andrés Messi Cuccittini,1.2300000000000002,1
Lucas Hernández Pi,0.24,0
Lucas Rodrigo Biglia,0.11,0
Lucas Torreira Di Pascua,0.06,0
Ludwig Augustinsson,0.17,1
Luis Alberto Suárez Díaz,0.8500000000000001,2
Luis Carlos Ovalle Victoria,0.04,0
Luis Fernando Muriel Fruto,0.19,1
Luis Jan Piers Advíncula Castrillón,0.13,0
Luka Modrić,0.8900000000000001,4
"M""Baye Babacar Niang",0.8300000000000001,1
Mahmoud Ibrahim Hassan,0.42999999999999994,0
Makoto Hasebe,0.03,0
Mame Biram Diouf,0.26,0
Manuel Henrique Tavares Fernandes,0.07,0
Manuel Marouan da Costa Trinidade,0.17,0
Manuel Obafemi Akanji,0.26,0
Marcelo Brozović,0.29000000000000004,1
Marcelo Vieira da Silva Júnior,0.12,0
Marco Asensio Willemsen,0.22,0
Marco Jhonfai Fabián De La Mora,0.04,0
Marco Reus,0.37,1
Marcos Danilo Ureña Porras,0.11,0
Marcos Javier Acuña,0.03,0
Marcus Berg,2.08,0
Marcus Rashford,0.33999999999999997,1
Mario Gavranović,0.22,0
Mario Gómez García,1.38,0
Mario Mandžukić,1.31,3
Marko Pjaca,0.03,0
Marouane Fellaini-Bakkioui,0.41000000000000003,1
Martin Braithwaite Christensen,0.23,0
Marvin Plattenhardt,0.03,0
Marwan Mohsen,0.4800000000000001,0
Mateo Kovačić,0.38,0
Mathew Leckie,0.96,0
Mathias Jattah-Njie Jørgensen,0.17,1
Mats Hummels,1.03,0
Matías Vecino Falero,0.27,0
Maximiliano Eduardo Meza,0.32,0
Maya Yoshida,0.26,0
Mbark Boussoufa,0.21000000000000002,0
Medhi Amine El Mouttaqi Benatia,0.51,0
Mehdi Taremi,0.27,0
Mesut Özil,0.09,0
Michael Amir Murillo Bermudez,0.14,0
Michael Krohn-Dehli,0.13,1
Michael Lang,0.06,0
Michy Batshuayi Tunga,1.1300000000000001,1
Miguel Arturo Layún Prado,0.4,0
Mikael Lustig,0.07,0
Milan Badelj,0.29000000000000004,1
Mile Jedinak,0.81,2
Min-Woo Kim,0.03,0
Mohamed Naser Elsayed Elneny,0.15,0
Mohamed Salah,0.51,2
Mohammad Ibrahim Al Sahlawi,0.06,0
Mohammed Al Burayk,0.09,0
Mohammed Kanoo,0.06,0
Mohanad Aseri Abu Radiah,0.08,0
Moussa Wagué,0.06,1
Mário Figueira Fernandes,0.26,1
"N""Golo Kanté",0.03,0
Nabil Dirar,0.1,0
Nabil Fekir,0.15,0
Nacer Chadli,0.29000000000000004,1
Nahitan Michel Nández Acosta,0.04,0
Naïm Sliti,0.21,0
Nemanja Matić,0.24,0
Neymar da Silva Santos Junior,2.8499999999999996,2
Nicolai Jørgensen,0.44,0
Nicolás Alejandro Tagliafico,0.38,0
Nicolás Hernán Otamendi,0.6900000000000001,0
Nordin Amrabat,0.03,0
Odion Jude Ighalo,0.39,0
Oghenekaro Etebo,0.22,0
Ola Toivonen,0.34,1
Olivier Giroud,1.02,0
Omid Ebrahimi,0.03,0
Onyinye Wilfred Ndidi,0.1,0
Oscar Fabián Murillo Murillo,0.26,0
Ousmane Dembélé,0.19,0
"Papa Alioune N""Diaye",0.03,0
Paul Pogba,0.33000000000000007,1
Paulo Bruno Exequiel Dybala,0.06,0
Pedro Jesús Aquino Sánchez,0.03,0
Philippe Coutinho Correia,1.2700000000000002,2
Pione Sisto Ifolo Emirmija,0.32,0
Piotr Zieliński,0.12,0
Pontus Jansson,0.13,0
Radamel Falcao García Zárate,0.9000000000000001,2
Rafał Kurzawa,0.09,0
Raheem Shaquille Sterling,1.2700000000000002,0
Ramin Rezaeian,0.03,0
Raphaël Adelino José Guerreiro,0.12,0
Raphaël Varane,0.49000000000000005,1
Raúl Alonso Jiménez Rodríguez,0.06,0
Renato Fabrizio Tapia Cortijo,0.04,0
Renato Soares de Oliveira Augusto,0.24000000000000002,1
Ricardo Andrade Quaresma Bernardo,0.27,1
Ricardo Guardia Avila,0.04,0
Ricardo Iván Rodríguez Araya,0.18,0
Robbie Kruse,0.13,0
Robert Lewandowski,1.0,0
