name,World Cup xG,World Cup goals,games,team_title,time,League,goals per 90 mins,npg per 90 mins,npxG per 90 mins,shots per 90 mins,xG per 90 mins,xGBuildup per 90 mins,xGChain per 90 mins
Aaron Mooy,0.09,0,29.0,Huddersfield,2326.0,English Premier League,0.11607910576096304,0.07738607050730867,0.06419789562560778,1.6638005159071363,0.09364982829080863,0.13471502581689754,0.201850083447602
Achraf Hakimi,0.06,0,21.0,Borussia Dortmund,1740.0,Bundesliga,0.10344827586206896,0.10344827586206896,0.08718109699287291,1.0344827586206895,0.08718109699287291,0.4345391263607247,0.5642467454589647
Adem Ljajic,0.06,0,1.0,Torino,27.0,Serie A,0.0,0.0,0.22317200899124148,6.666666666666666,0.22317200899124148,0.36713113387425744,0.5903031428654988
Adnan Januzaj,0.16,1,20.0,Real Sociedad,1243.0,La Liga,0.07240547063555912,0.07240547063555912,0.18787041661642007,2.316975060337892,0.18787041661642007,0.14492613593099915,0.4143848999426644
Adrien Silva,0.06,0,2.0,Leicester,86.0,English Premier League,0.0,0.0,0.0,0.0,0.0,0.12169593208751013,0.12169593208751013
Adrien Silva,0.06,0,15.0,Monaco,1183.0,Ligue 1,0.0,0.0,0.018605428298310214,0.6846999154691462,0.018605428298310214,0.21888326042641146,0.25477008056446643
Alan Dzagoev,0.19,1,7.0,CSKA Moscow,421.0,Russian Premier League,0.0,0.0,0.2563158753648789,2.7790973871733966,0.2563158753648789,0.1694158200979799,0.4741501967442574
Albin Ekdal,0.12,0,32.0,Sampdoria,2660.0,Serie A,0.0,0.0,0.024363214486187564,0.5075187969924811,0.024363214486187564,0.2870744667261055,0.3167713370272203
Aleksandar Kolarov,0.06,1,33.0,Roma,2904.0,Serie A,0.2479338842975207,0.15495867768595042,0.07115829388672594,1.3016528925619837,0.14193897267364827,0.2909397081787552,0.4318917242517649
Aleksandar Mitrovic,2.12,1,37.0,Fulham,3285.0,English Premier League,0.3013698630136986,0.273972602739726,0.4025095096751027,3.589041095890411,0.4233634520628273,0.1471635546178034,0.5177299471138275
Aleksandr Erokhin,0.39,0,16.0,Zenit St. Petersburg,1155.0,Russian Premier League,0.4675324675324675,0.4675324675324675,0.33164258018232784,2.493506493506493,0.33164258018232784,0.1961176005470288,0.5475229019081437
Aleksandr Golovin,0.25,2,30.0,Monaco,2318.0,Ligue 1,0.1164797238999137,0.1164797238999137,0.1708872667196383,1.9413287316652288,0.1708872667196383,0.18005538636993704,0.3923928886378784
Aleksandr Samedov,0.09,0,17.0,"Krylya Sovetov Samara,Spartak Moscow",955.0,Russian Premier League,0.0,0.0,0.08654581858771634,1.225130890052356,0.08654581858771634,0.18595763078417765,0.3090220280869313
Alex Iwobi,0.29000000000000004,0,35.0,Arsenal,1974.0,English Premier League,0.13677811550151975,0.13677811550151975,0.16960372477430158,1.595744680851064,0.16960372477430158,0.4359209802182883,0.830112449303949
Alfred Finnbogason,0.66,1,18.0,Augsburg,1372.0,Bundesliga,0.6559766763848396,0.3935860058309038,0.5527403357414306,2.6239067055393583,0.7515579333621193,0.09842416338769193,0.6917461722752528
Alireza Jahanbakhsh,0.1,0,19.0,Brighton,1021.0,English Premier League,0.0,0.0,0.0618415877649909,1.8511263467189032,0.0618415877649909,0.03984617592035323,0.09820454675488967
Amine Harit,0.18,0,18.0,Schalke 04,1085.0,Bundesliga,0.08294930875576037,0.08294930875576037,0.09041406709511984,0.9953917050691244,0.09041406709511984,0.18542043354860102,0.3726108107836016
Andreas Cornelius,0.13,0,20.0,Bordeaux,756.0,Ligue 1,0.3571428571428571,0.3571428571428571,0.2339832063409544,2.619047619047619,0.2339832063409544,0.07205649012965815,0.32544075023560304
Andrej Kramaric,0.8700000000000001,2,30.0,Hoffenheim,2418.0,Bundesliga,0.6327543424317619,0.4466501240694789,0.6338366186223164,4.131513647642681,0.8030611555792262,0.4801569207254844,1.1522005072727837
André Silva,0.16,0,27.0,Sevilla,2170.0,La Liga,0.3732718894009217,0.3732718894009217,0.4656650940994926,2.6129032258064515,0.4656650940994926,0.2256035194624953,0.7732782946719279
Andrés Guardado,0.79,0,31.0,Real Betis,2343.0,La Liga,0.0,0.0,0.06019132872435256,0.998719590268886,0.06019132872435256,0.34862605723696705,0.4932079507126241
Ante Rebic,0.81,1,28.0,Eintracht Frankfurt,1995.0,Bundesliga,0.406015037593985,0.406015037593985,0.47406348861978,2.7518796992481205,0.47406348861978,0.12834386320266508,0.7253347023117138
Antoine Griezmann,1.4400000000000002,4,37.0,Atletico Madrid,3213.0,La Liga,0.4201680672268908,0.33613445378151263,0.3467829244508713,3.1652661064425764,0.4092396483482684,0.2398730629235924,0.5751988405481774
Arkadiusz Milik,0.17,0,35.0,Napoli,2403.0,Serie A,0.6367041198501873,0.6367041198501873,0.5272800995783412,4.157303370786518,0.5272800995783412,0.21341480583315264,0.7419834207841074
